ord_id,pro_id,aro_id,pro_cantidad
ord_1,pro_002,aro_02,1
ord_1,pro_002,aro_03,1
ord_1,pro_002,aro_04,1
ord_1,pro_002,aro_05,1
ord_10,pro_002,aro_02,1
ord_10,pro_002,aro_04,1
ord_11,pro_001,aro_04,1
ord_12,pro_001,aro_03,1
ord_13,pro_001,aro_02,1
ord_13,pro_001,aro_03,1
ord_13,pro_001,aro_04,1
ord_13,pro_001,aro_05,1
ord_13,pro_001,aro_07,1
ord_13,pro_001,aro_08,1
ord_14,pro_006,aro_09,1
ord_15,pro_006,aro_10,1
ord_16,pro_002,aro_03,2
ord_16,pro_002,aro_08,2
ord_17,pro_010,aro_09,1
ord_17,pro_011,aro_11,1
ord_17,pro_013,aro_10,1
ord_18,pro_001,aro_06,1
ord_19,pro_001,aro_02,1
ord_19,pro_001,aro_03,1
ord_19,pro_001,aro_04,1
ord_19,pro_001,aro_05,1
ord_2,pro_001,aro_02,1
ord_20,pro_002,aro_04,1
ord_20,pro_002,aro_05,1
ord_21,pro_001,aro_02,1
ord_22,pro_001,aro_08,1
ord_23,pro_001,aro_04,1
ord_24,pro_001,aro_02,1
ord_24,pro_001,aro_03,1
ord_24,pro_001,aro_04,1
ord_24,pro_001,aro_05,1
ord_25,pro_002,aro_04,1
ord_25,pro_002,aro_06,1
ord_26,pro_001,aro_06,1
ord_27,pro_001,aro_04,1
ord_28,pro_001,aro_05,1
ord_29,pro_007,aro_01,1
ord_3,pro_001,aro_04,1
ord_30,pro_010,aro_10,1
ord_30,pro_011,aro_11,1
ord_30,pro_013,aro_10,1
ord_31,pro_001,aro_04,1
ord_32,pro_001,aro_02,1
ord_32,pro_001,aro_03,1
ord_32,pro_001,aro_04,1
ord_32,pro_001,aro_08,1
ord_33,pro_001,aro_03,1
ord_33,pro_001,aro_04,1
ord_33,pro_001,aro_06,1
ord_33,pro_001,aro_08,1
ord_34,pro_002,aro_04,1
ord_34,pro_002,aro_05,1
ord_35,pro_002,aro_08,5
ord_36,pro_001,aro_02,1
ord_36,pro_001,aro_03,1
ord_36,pro_001,aro_04,1
ord_36,pro_001,aro_11,1
ord_37,pro_002,aro_02,1
ord_37,pro_002,aro_04,1
ord_38,pro_002,aro_04,1
ord_38,pro_002,aro_07,1
ord_39,pro_002,aro_03,1
ord_4,pro_002,aro_02,1
ord_4,pro_002,aro_04,1
ord_40,pro_002,aro_08,1
ord_41,pro_002,aro_05,1
ord_42,pro_001,aro_06,1
ord_43,pro_007,aro_01,1
ord_44,pro_001,aro_02,1
ord_44,pro_001,aro_04,1
ord_44,pro_001,aro_07,1
ord_44,pro_001,aro_08,1
ord_45,pro_014,aro_02,1
ord_46,pro_015,aro_11,1
ord_47,pro_004,aro_11,1
ord_48,pro_006,aro_02,1
ord_49,pro_006,aro_11,1
ord_5,pro_001,aro_04,1
ord_50,pro_008,aro_01,1
ord_51,pro_001,aro_02,1
ord_51,pro_001,aro_04,1
ord_51,pro_001,aro_07,1
ord_51,pro_001,aro_08,1
ord_52,pro_002,aro_06,1
ord_53,pro_002,aro_08,1
ord_54,pro_002,aro_08,1
ord_55,pro_002,aro_08,1
ord_56,pro_005,aro_02,2
ord_56,pro_005,aro_09,1
ord_56,pro_005,aro_10,1
ord_56,pro_005,aro_11,2
ord_57,pro_010,aro_10,1
ord_57,pro_011,aro_10,1
ord_57,pro_013,aro_10,1
ord_58,pro_002,aro_06,5
ord_59,pro_008,aro_01,1
ord_6,pro_006,aro_02,1
ord_6,pro_006,aro_09,1
ord_6,pro_006,aro_10,1
ord_6,pro_006,aro_11,1
ord_7,pro_003,aro_02,1
ord_7,pro_003,aro_09,1
ord_7,pro_003,aro_10,1
ord_7,pro_003,aro_11,1
ord_8,pro_001,aro_02,1
ord_8,pro_001,aro_03,1
ord_8,pro_001,aro_04,1
ord_8,pro_001,aro_07,1
ord_8,pro_001,aro_08,1
ord_8,pro_001,aro_11,1
ord_9,pro_001,aro_02,1
ord_9,pro_001,aro_03,1
ord_9,pro_001,aro_04,1
ord_9,pro_001,aro_08,1
